实况日期,气温,相对湿度,未来雷暴,index,0
1986-06-22 06:00:00,21.8,0.8411440193091932,1.0,3613,1986-06-22 06:00:00
1986-06-22 12:00:00,21.0,0.9057418737518368,1.0,3614,1986-06-22 12:00:00
1986-06-23 12:00:00,26.3,0.786633363204177,1.0,3618,1986-06-23 12:00:00
1986-06-26 06:00:00,27.3,0.8072930294027401,1.0,3629,1986-06-26 06:00:00
1986-06-26 12:00:00,22.7,0.9408728920122676,1.0,3630,1986-06-26 12:00:00
1986-06-27 06:00:00,25.3,0.7852167173267262,0.0,3633,1986-06-27 06:00:00
1986-06-29 18:00:00,25.4,0.5355527116686316,0.0,3643,1986-06-29 18:00:00
1986-07-03 06:00:00,26.1,0.594787906238175,1.0,3657,1986-07-03 06:00:00
1986-07-03 12:00:00,22.7,0.879393985941359,1.0,3658,1986-07-03 12:00:00
1986-07-03 18:00:00,19.5,0.9513096274198662,0.0,3659,1986-07-03 18:00:00
1986-07-04 12:00:00,23.2,0.685483227881523,1.0,3662,1986-07-04 12:00:00
1986-07-04 18:00:00,19.8,0.904920531428716,1.0,3663,1986-07-04 18:00:00
1986-07-05 06:00:00,25.3,0.7025750288341236,0.0,3665,1986-07-05 06:00:00
1986-07-05 12:00:00,25.1,0.7611353777589759,1.0,3666,1986-07-05 12:00:00
1986-07-06 18:00:00,24.1,0.8436514295971199,1.0,3671,1986-07-06 18:00:00
1986-07-07 00:00:00,19.1,0.9392881509147458,1.0,3672,1986-07-07 00:00:00
1986-07-07 06:00:00,25.3,0.6518172734718737,1.0,3673,1986-07-07 06:00:00
1986-07-07 12:00:00,24.5,0.8287141810027142,1.0,3674,1986-07-07 12:00:00
1986-07-08 06:00:00,26.9,0.6430710043961044,1.0,3677,1986-07-08 06:00:00
1986-07-08 12:00:00,26.6,0.7404854402036641,1.0,3678,1986-07-08 12:00:00
1986-07-09 06:00:00,24.5,0.7415569768656726,1.0,3681,1986-07-09 06:00:00
1986-07-10 06:00:00,29.3,0.6096137275162159,1.0,3685,1986-07-10 06:00:00
1986-07-14 06:00:00,32.9,0.5642710867386197,1.0,3701,1986-07-14 06:00:00
1986-07-14 12:00:00,28.2,0.5391856231640829,1.0,3702,1986-07-14 12:00:00
1986-07-14 18:00:00,21.9,0.8052083502147882,0.0,3703,1986-07-14 18:00:00
1986-07-15 12:00:00,27.1,0.6596465558963752,1.0,3706,1986-07-15 12:00:00
1986-07-17 12:00:00,26.6,0.7541959172022262,1.0,3714,1986-07-17 12:00:00
1986-07-18 06:00:00,26.8,0.5964145291688976,1.0,3717,1986-07-18 06:00:00
1986-07-18 12:00:00,25.4,0.7710285134257518,1.0,3718,1986-07-18 12:00:00
1986-07-18 18:00:00,19.8,0.9221176848427831,0.0,3719,1986-07-18 18:00:00
1986-07-20 00:00:00,24.2,0.9301847093743739,1.0,3724,1986-07-20 00:00:00
1986-07-20 06:00:00,29.1,0.7268882098871801,1.0,3725,1986-07-20 06:00:00
1986-07-20 12:00:00,25.7,0.8301084102661053,1.0,3726,1986-07-20 12:00:00
1986-07-22 18:00:00,26.7,0.898712266673043,0.0,3735,1986-07-22 18:00:00
1986-07-23 06:00:00,29.5,0.7017550374923256,1.0,3737,1986-07-23 06:00:00
1986-07-23 12:00:00,21.0,0.911395740929451,1.0,3738,1986-07-23 12:00:00
1986-07-24 00:00:00,23.8,0.8228037979335016,1.0,3740,1986-07-24 00:00:00
1986-07-24 06:00:00,28.8,0.659076215890228,1.0,3741,1986-07-24 06:00:00
1986-07-24 12:00:00,25.6,0.8712412410462901,1.0,3742,1986-07-24 12:00:00
1986-07-25 00:00:00,22.6,0.8685105781813824,1.0,3744,1986-07-25 00:00:00
1986-07-28 12:00:00,26.9,0.7970763406816433,1.0,3758,1986-07-28 12:00:00
1986-07-28 18:00:00,25.1,0.9418955219516627,1.0,3759,1986-07-28 18:00:00
1986-08-01 06:00:00,30.3,0.459786022259008,1.0,3773,1986-08-01 06:00:00
1986-08-03 12:00:00,28.5,0.6665742187541579,1.0,3782,1986-08-03 12:00:00
1986-08-03 18:00:00,24.6,0.8809979980575088,1.0,3783,1986-08-03 18:00:00
1986-08-04 06:00:00,25.8,0.7483051734537518,1.0,3785,1986-08-04 06:00:00
1986-08-08 06:00:00,24.9,0.7894886900288858,1.0,3801,1986-08-08 06:00:00
1986-08-08 12:00:00,,,1.0,3802,1986-08-08 12:00:00
1986-08-09 00:00:00,21.8,0.8951290832953882,0.0,3804,1986-08-09 00:00:00
1986-08-09 06:00:00,27.5,0.6895331211886604,1.0,3805,1986-08-09 06:00:00
1986-08-09 12:00:00,23.1,0.9296269454296927,1.0,3806,1986-08-09 12:00:00
1986-08-11 18:00:00,25.2,0.829529479976131,1.0,3815,1986-08-11 18:00:00
1986-08-16 06:00:00,27.3,0.6933966145600639,0.0,3833,1986-08-16 06:00:00
1986-08-18 12:00:00,24.8,0.908274949881671,1.0,3842,1986-08-18 12:00:00
1986-08-19 06:00:00,26.3,0.6787600726964469,1.0,3845,1986-08-19 06:00:00
1986-08-19 12:00:00,24.2,0.7273181397653167,1.0,3846,1986-08-19 12:00:00
1986-08-25 00:00:00,20.6,0.6051009155200381,0.0,3868,1986-08-25 00:00:00
1986-08-28 06:00:00,31.5,0.48973781526326576,1.0,3881,1986-08-28 06:00:00
1986-08-29 06:00:00,29.9,0.40109490028081285,1.0,3885,1986-08-29 06:00:00
1986-08-31 06:00:00,30.2,0.44801958041016954,1.0,3893,1986-08-31 06:00:00
1986-08-31 12:00:00,22.2,0.8844241615919245,1.0,3894,1986-08-31 12:00:00
1986-09-01 06:00:00,24.3,0.6963213178379553,1.0,3897,1986-09-01 06:00:00
1986-09-04 06:00:00,27.1,0.44534191467200357,1.0,3909,1986-09-04 06:00:00
1986-09-04 12:00:00,21.8,0.6827172669713062,1.0,3910,1986-09-04 12:00:00
1986-09-06 12:00:00,24.2,0.7138050963848349,1.0,3918,1986-09-06 12:00:00
1986-09-10 12:00:00,24.7,0.6029257420753916,1.0,3934,1986-09-10 12:00:00
1986-09-10 18:00:00,17.6,0.8582348841480033,1.0,3935,1986-09-10 18:00:00
1986-09-13 00:00:00,17.7,0.6879189406450501,0.0,3944,1986-09-13 00:00:00
1986-09-14 00:00:00,18.4,0.641120381834422,0.0,3948,1986-09-14 00:00:00
1986-09-14 18:00:00,16.6,0.885388655521814,0.0,3951,1986-09-14 18:00:00
1986-09-15 06:00:00,26.7,0.49587055810540265,0.0,3953,1986-09-15 06:00:00
1986-09-15 12:00:00,23.0,0.5912905214669751,1.0,3954,1986-09-15 12:00:00
1986-09-16 18:00:00,10.2,0.794236649023619,0.0,3959,1986-09-16 18:00:00
1986-09-19 00:00:00,15.6,0.7758649003750742,0.0,3968,1986-09-19 00:00:00
1986-09-19 06:00:00,23.7,0.5778796685846317,1.0,3969,1986-09-19 06:00:00
1986-09-19 12:00:00,21.1,0.6857212911585693,1.0,3970,1986-09-19 12:00:00
1986-09-25 00:00:00,16.0,0.7612678472612932,0.0,3992,1986-09-25 00:00:00
1986-09-26 18:00:00,13.4,0.3539680781382793,0.0,3999,1986-09-26 18:00:00
1986-09-29 06:00:00,25.0,0.21347431917984216,0.0,4009,1986-09-29 06:00:00
